Text,User,Hashtags,Platform_Facebook,Platform_Instagram,Platform_Twitter,Country_encoded,Sentiment_encoded,Retweets_scaled,Likes_scaled,Year,Month,Day,Hour
"Boredom settles like dust, life feels mundane.",MundaneHeart,#Boredom #Monotony,0,1,0,5,24,-2.1113891684164,-2.0268815925670918,2016,11,28,19
"Anxiety grips my chest, a relentless grip on my thoughts.",RestlessMind,#Anxiety #Restlessness,1,0,0,31,12,-1.6722226212029865,-1.6616911856360448,2018,9,5,9
"Intimidation by the challenges ahead, fear takes hold.",FearfulJourney,#Intimidation #FacingFear,0,0,1,13,110,-0.9402783758472977,-0.9313103717739508,2021,10,22,18
"Helplessness engulfs me, drowning in a sea of problems.",OverwhelmedSoul,#Helplessness #Struggling,0,1,0,0,99,-1.965000319345262,-2.0268815925670918,2019,5,8,14
"Envy poisons my thoughts, coveting others' success.",GreenEyedMonster,#Envy #Success,1,0,0,5,74,-1.6722226212029865,-1.6616911856360448,2017,3,20,11
Regret for decisions that led to a painful present.,RegretfulMind,#Regret #PastChoices,0,0,1,32,153,-1.379444923060711,-1.2965007787049978,2018,12,15,16
Disgust at the corruption that stains society.,CorruptedHeart,#Disgust #Corruption,0,1,0,31,56,-2.1113891684164,-2.0268815925670918,2016,7,1,9
"Sinking in despair, each day darker than the last.",DrowningSoul,#Despair #DarkDays,1,0,0,13,50,-1.6722226212029865,-1.6616911856360448,2020,8,20,20
"Grief overwhelms, a storm of emotions within.",StormyHeart,#Grief #EmotionalStorm,0,0,1,5,91,-1.379444923060711,-1.2965007787049978,2021,2,25,15
"Loneliness echoes in empty spaces, yearning for connection.",EchoingSoul,#Loneliness #YearningForConnection,0,1,0,0,121,-0.9402783758472977,-0.9313103717739508,2019,9,12,18
"Jealousy poisons my thoughts, resentment brewing within.",PoisonedMind,#Jealousy #Resentment,1,0,0,32,114,-1.965000319345262,-2.0268815925670918,2018,8,5,16
"Resentment festers, a wound that refuses to heal.",UnforgivingSoul,#Resentment #Unforgiving,0,0,1,13,157,-1.6722226212029865,-1.6616911856360448,2017,1,12,12
"Frustration escalates, a thunderstorm of emotions.",ThunderingMind,#Frustration #EmotionalOutburst,0,1,0,31,86,-1.379444923060711,-1.2965007787049978,2022,4,5,14
"Boredom lingers, a stagnant pool of indifference.",StagnantHeart,#Boredom #Stagnation,1,0,0,5,24,-2.1113891684164,-2.0268815925670918,2021,10,2,19
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",InquisitiveMind,#Curiosity #Learning,0,0,1,32,46,-0.9402783758472977,-0.9313103717739508,2023,4,15,10
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",ApatheticObserver,#Indifference #DigitalOverload,0,1,0,5,106,-2.1113891684164,-2.0268815925670918,2022,11,28,17
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",SeekingClarity,#Confusion #LifePuzzle,1,0,0,31,37,-1.6722226212029865,-1.6616911856360448,2020,4,2,9
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",EmotionallyDistant,#Numbness #EmotionalShield,0,0,1,13,137,-1.965000319345262,-2.0268815925670918,2021,8,10,14
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",SunsetDreamer,#Melancholy #SunsetMoments,0,1,0,0,126,-1.379444923060711,-1.2965007787049978,2019,6,18,20
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",MemoryLaneTraveler,#Nostalgia #MemoryLane,1,0,0,32,136,-1.6722226212029865,-1.6616911856360448,2018,2,5,15
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",MixedFeelings,#Ambivalence #UncertainChoices,0,0,1,5,8,-1.379444923060711,-1.2965007787049978,2022,5,30,11
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",ZenLifestyle,#Acceptance #LifeJourney,0,1,0,31,0,-0.9402783758472977,-0.9313103717739508,2023,1,10,16
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",ResilientSpirit,#Determination #AchieveTheImpossible,1,0,0,13,52,-1.6722226212029865,-1.6616911856360448,2020,9,18,13
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",NatureSoul,#Serenity #NatureRetreat,0,0,1,0,166,-1.379444923060711,-1.2965007787049978,2021,7,3,19
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",EternalLearner,#Curiosity #KnowledgeQuest,0,1,0,32,46,-0.20833413049160884,-0.20092955791185693,2022,10,8,8
"Floating through the day with an air of indifference, detached from the mundane happenings around.",AloofObserver,#Indifference #FloatingThroughLife,1,0,0,5,106,-1.6722226212029865,-1.6616911856360448,2023,3,22,16
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",ThoughtExplorer,#Confusion #ThoughtLabyrinth,0,0,1,31,37,-0.9402783758472977,-0.9313103717739508,2021,5,15,11
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",StoicSoul,#Numbness #StoicFacade,0,1,0,0,137,-1.965000319345262,-2.0268815925670918,2019,12,28,14
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",DreamerInSilence,#Melancholy #WhispersInTheBreeze,1,0,0,13,126,-1.379444923060711,-1.2965007787049978,2020,3,1,19
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",JournalKeeper,#Nostalgia #JournalMoments,0,0,1,5,136,-1.6722226212029865,-1.6616911856360448,2018,7,10,15
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",ThreadWeaver,#Ambivalence #ConflictingFeelings,0,1,0,31,8,-1.379444923060711,-1.2965007787049978,2022,1,5,10
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",SelfLoveAdvocate,#Acceptance #SelfLoveJourney,1,0,0,0,0,-0.9402783758472977,-0.9313103717739508,2021,8,20,16
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",DreamChaser,#Determination #DreamsIntoReality,0,0,1,32,52,-0.5011118286338844,-0.5661199648429038,2019,11,3,13
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",OceanSoul,#Serenity #OceanRetreat,0,1,0,5,166,0.52361011486408,0.529451255950237,2020,4,12,19
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",HorizonExplorer,#Curiosity #NewHorizons,1,0,0,13,46,0.0844435676506667,0.16426084901919003,2022,4,15,8
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",NonchalantSpirit,#Indifference #DriftingThroughLife,0,0,1,31,106,-1.8186114702741243,-1.8077673484084635,2023,2,10,17
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",ComplexThinker,#Confusion #PerplexedMind,0,1,0,0,37,-1.0866672249184355,-1.0773865345463696,2020,8,5,12
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",ShieldedHeart,#Numbness #EmotionalShield,1,0,0,32,137,-1.6722226212029865,-1.6616911856360448,2021,12,1,15
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",SymphonySoul,#Melancholy #WistfulHeart,0,0,1,5,126,-1.2330560739895733,-1.2234626973187883,2019,3,25,21
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",YearbookExplorer,#Nostalgia #YearbookMemories,0,1,0,13,136,-1.379444923060711,-1.2965007787049978,2017,6,18,14
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",DecisiveDilemma,#Ambivalence #ShadesOfUncertainty,1,0,0,0,8,-0.9402783758472977,-0.9313103717739508,2022,7,8,11
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",ImperfectHarmony,#Acceptance #ImperfectJourney,0,0,1,5,0,-0.5011118286338844,-0.49308188345669446,2023,5,15,16
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",VisionarySpirit,#Determination #UnparalleledHeights,0,1,0,31,52,-0.20833413049160884,-0.20092955791185693,2021,9,10,14
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",ForestDreamer,#Serenity #NatureWhispers,1,0,0,32,166,0.52361011486408,0.529451255950237,2020,2,28,18
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",SilentSpectator,#Indifference #SilentObserver,0,1,0,13,106,-1.8186114702741243,-1.8077673484084635,2023,3,10,16
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",MazeNavigator,#Confusion #ThoughtLabyrinth,1,0,0,0,37,-1.0866672249184355,-1.0773865345463696,2021,5,2,11
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",ResilientFortress,#Numbness #StoicResilience,0,0,1,31,137,-1.5258337721318487,-1.5156150228636258,2019,10,18,14
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",CanvasDreamer,#Melancholy #BittersweetMemories,0,1,0,32,126,-1.2330560739895733,-1.2234626973187883,2020,1,5,20
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",DiaryExplorer,#Nostalgia #DiaryJourney,1,0,0,5,136,-1.379444923060711,-1.2965007787049978,2018,8,10,15
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",CrossroadsTraveler,#Ambivalence #ConflictingEmotions,0,0,1,13,8,-0.9402783758472977,-0.9313103717739508,2022,1,15,10
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",MosaicDreamer,#Acceptance #BeautifulChaos,0,1,0,0,0,-0.5011118286338844,-0.49308188345669446,2021,7,20,16
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",PathfinderSpirit,#Determination #ExtraordinaryPath,1,0,0,32,52,-0.20833413049160884,-0.20092955791185693,2019,12,3,13
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",RaindropHarmony,#Serenity #RaindropMelody,0,0,1,5,166,0.52361011486408,0.529451255950237,2020,4,12,19
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",SeekerOfUnknowns,#Curiosity #SeekerOfKnowledge,0,1,0,31,46,0.0844435676506667,0.16426084901919003,2022,5,8,8
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",NonchalantWanderer,#Indifference #DriftingThroughLife,1,0,0,13,106,-1.8186114702741243,-1.8077673484084635,2023,2,22,17
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",ShadowedSeeker,#Confusion #LabyrinthOfThoughts,0,0,1,0,37,-1.0866672249184355,-1.0773865345463696,2020,6,5,12
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",TurbulentShield,#Numbness #EmotionalStorms,0,1,0,5,137,-1.6722226212029865,-1.6616911856360448,2021,11,30,15
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",WistfulPainter,#Melancholy #WistfulYearning,1,0,0,31,126,-1.2330560739895733,-1.2234626973187883,2019,2,25,21
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",TaleWeaver,#Nostalgia #PhotoAlbumStories,0,0,1,32,136,-1.379444923060711,-1.2965007787049978,2017,5,18,14
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",CrossroadsExplorer,#Ambivalence #CrossroadsConfusion,0,1,0,5,8,-0.9402783758472977,-0.9313103717739508,2022,8,5,11
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",MosaicArtist,#Acceptance #UnpredictableArt,1,0,0,0,0,-0.5011118286338844,-0.49308188345669446,2023,6,15,16
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",DreamSculptor,#Determination #SculptingDreams,0,0,1,31,52,-0.20833413049160884,-0.20092955791185693,2021,10,10,14
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",MoonlitSoul,#Serenity #MoonlitPeace,0,1,0,32,166,0.52361011486408,0.529451255950237,2020,5,12,19
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",FearlessExplorer,#Curiosity #FearlessExplorer,1,0,0,13,46,0.0844435676506667,0.09122276763298064,2022,12,1,9
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",TurbulentShield,#Numbness #EmotionalStorms,0,1,0,5,137,-1.6722226212029865,-1.6616911856360448,2021,11,30,15
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",JoyfulDancer,#Zest #CarefreeSpirit,0,0,1,32,190,-0.9402783758472977,-0.9313103717739508,2018,7,12,17
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",SereneBasker,#Contentment #GoldenGlow,1,0,0,0,40,-0.5011118286338844,-0.49308188345669446,2020,9,5,20
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",DreamPainter,#Hopeful #CanvasOfDreams,0,1,0,13,101,-1.379444923060711,-1.369538860091207,2022,4,18,8
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",OakAchiever,#Proud #BranchesOfAchievement,0,0,1,5,150,0.52361011486408,0.529451255950237,2019,12,10,12
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",HeartGardener,#Grateful #BlossomingConnection,1,0,0,32,89,-0.20833413049160884,-0.20092955791185693,2023,2,28,9
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",ThreadWeaver,#Empathetic #TapestryOfUnderstanding,0,1,0,31,65,-0.9402783758472977,-0.9313103717739508,2018,4,3,14
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",CloudCaretaker,#Compassionate #ShowerOfEmpathy,0,0,1,0,34,-0.5011118286338844,-0.49308188345669446,2022,6,20,10
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",RainDancer,#Playful #DanceInTheRain,1,0,0,5,144,0.0844435676506667,0.09122276763298064,2020,7,8,18
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",SkyPainter,#FreeSpirit #PaintingTheSky,0,1,0,13,82,-0.20833413049160884,-0.20092955791185693,2021,8,15,11
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",PhoenixExplorer,#Inspired #CreativePhoenix,0,0,1,31,109,-0.9402783758472977,-0.9313103717739508,2019,10,25,16
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",SunriseNavigator,#Hopeful #SunriseOfPossibilities,1,0,0,32,101,-1.379444923060711,-1.369538860091207,2023,10,5,7
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",SandStrider,#Confident #FootprintsOfAssuredness,0,1,0,0,36,0.52361011486408,0.529451255950237,2022,2,15,13
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",NightSerenader,#Serenity #MoonlitSerenade,0,0,1,5,166,-1.2330560739895733,-1.2234626973187883,2021,5,8,22
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",KnowledgeSeeker,#Curiosity #LabyrinthOfQuestions,0,1,0,32,46,-0.6475006777050222,-0.6391580462291132,2020,11,29,14
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",BreezeWaltzer,#Ambivalence #AutumnWaltz,1,0,0,31,8,-1.0866672249184355,-1.0773865345463696,2019,9,14,10
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",StarNavigator,#Grateful #GuidingStar,0,0,1,0,89,-0.3547229795627466,-0.3470057206842757,2022,3,12,19
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",MeadowSprinter,#Zest #FieldsOfEnthusiasm,0,1,0,13,190,-0.79388952677616,-0.7852342090015321,2023,3,30,16
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",RainNurturer,#Compassionate #TearsOfEmpathy,1,0,0,5,34,-0.06194528142047107,-0.05485339513943815,2021,7,1,12
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",PeakConqueror,#Proud #ScalingPeaks,0,0,1,32,150,0.23083241672180446,0.2372989304053994,2020,1,5,8
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",DawnGardener,#Hopeful #SeedsOfOptimism,0,1,0,31,101,-1.0866672249184355,-1.0773865345463696,2022,7,17,6
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",CarnivalDreamer,#Playful #CarnivalEscapade,1,0,0,0,144,0.37722126579294224,0.3833750931778182,2018,8,22,17
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",SkyArtist,#Inspired #CloudsOfCreativity,0,0,1,13,109,-0.5011118286338844,-0.49308188345669446,2021,12,8,14
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",RiverNavigator,#Contentment #TranquilWaters,0,1,0,5,40,-0.20833413049160884,-0.20092955791185693,2019,4,27,9
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",LanternWanderer,#Empathetic #LanternOfCompassion,1,0,0,32,65,-0.79388952677616,-0.7852342090015321,2023,9,3,21
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",DreamSoarer,#FreeSpirit #WingsOfDreams,0,0,1,31,82,0.0844435676506667,0.09122276763298064,2020,6,10,10
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",SunsetAdmirer,#Grateful #GoldenHues,0,1,0,0,89,-0.3547229795627466,-0.3470057206842757,2022,4,1,18
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",DanceStrider,#Confident #DanceOfLife,1,0,0,5,36,0.23083241672180446,0.2372989304053994,2021,1,15,13
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",WindWhisperer,#Hopeful #BrighterTomorrows,0,0,1,13,101,-0.9402783758472977,-0.9313103717739508,2023,5,6,7
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",JugglingArtist,#Playful #JugglingResponsibilities,0,1,0,32,144,0.52361011486408,0.529451255950237,2019,11,18,15
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",StarStoryteller,#Inspired #TalesToTheStars,1,0,0,31,109,-1.0866672249184355,-1.0773865345463696,2020,8,29,20
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",WaveNavigator,#Hopeful #SailorOfDreams,0,0,1,0,101,-0.6475006777050222,-0.6391580462291132,2022,10,30,11
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",RainNurturer,#Compassionate #TearsOfEmpathy,0,1,0,5,34,-0.06194528142047107,-0.05485339513943815,2021,7,1,12
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",PeakConqueror,#Proud #ScalingPeaks,0,0,1,32,150,0.23083241672180446,0.2372989304053994,2020,1,5,8
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",DawnGardener,#Hopeful #SeedsOfOptimism,0,1,0,31,101,-1.0866672249184355,-1.0773865345463696,2022,7,17,6
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",CarnivalDreamer,#Playful #CarnivalEscapade,1,0,0,0,144,0.37722126579294224,0.3833750931778182,2018,8,22,17
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",SkyArtist,#Inspired #CloudsOfCreativity,0,0,1,13,109,-0.5011118286338844,-0.49308188345669446,2021,12,8,14
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",RiverNavigator,#Contentment #TranquilWaters,0,1,0,5,40,-0.20833413049160884,-0.20092955791185693,2019,4,27,9
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",LanternWanderer,#Empathetic #LanternOfCompassion,1,0,0,32,65,-0.79388952677616,-0.7852342090015321,2023,9,3,21
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",DreamSoarer,#FreeSpirit #WingsOfDreams,0,0,1,31,82,0.0844435676506667,0.09122276763298064,2020,6,10,10
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",SunsetAdmirer,#Grateful #GoldenHues,0,1,0,0,89,-0.3547229795627466,-0.3470057206842757,2022,4,1,18
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",DanceStrider,#Confident #DanceOfLife,1,0,0,5,36,0.23083241672180446,0.2372989304053994,2021,1,15,13
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",WindWhisperer,#Hopeful #BrighterTomorrows,0,0,1,13,101,-0.9402783758472977,-0.9313103717739508,2023,5,6,7
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",JugglingArtist,#Playful #JugglingResponsibilities,0,1,0,32,144,0.52361011486408,0.529451255950237,2019,11,18,15
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",StarStoryteller,#Inspired #TalesToTheStars,1,0,0,31,109,-1.0866672249184355,-1.0773865345463696,2020,8,29,20
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",WaveNavigator,#Hopeful #SailorOfDreams,0,0,1,0,101,-0.6475006777050222,-0.6391580462291132,2022,10,30,11
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",RainNurturer,#Compassionate #TearsOfEmpathy,0,1,0,5,34,-0.06194528142047107,-0.05485339513943815,2021,7,1,12
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",PeakConqueror,#Proud #ScalingPeaks,0,0,1,32,150,0.23083241672180446,0.2372989304053994,2020,1,5,8
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",DawnGardener,#Hopeful #SeedsOfOptimism,0,1,0,13,101,-1.0866672249184355,-1.0773865345463696,2022,7,17,6
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",CarnivalDreamer,#Playful #CarnivalEscapade,1,0,0,0,144,0.37722126579294224,0.3833750931778182,2018,8,22,17
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",ShatteredHeart,#Despair #EchoingSilence,0,1,0,5,50,-1.965000319345262,-1.9538435111808823,2021,9,15,16
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",VenomousSoul,#Bitterness #ResentmentWeb,1,0,0,31,21,-1.379444923060711,-1.369538860091207,2019,3,8,14
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",DesertWanderer,#Loneliness #MiragesOfConnection,0,0,1,32,121,-0.9402783758472977,-0.9313103717739508,2017,7,20,11
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",ColdEmbrace,#Yearning #DistantWarmth,0,1,0,0,189,-1.6722226212029865,-1.6616911856360448,2020,11,2,19
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",NightPrisoner,#Fearful #ImaginedHorrors,1,0,0,13,80,-0.5011118286338844,-0.49308188345669446,2022,5,12,2
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",TightropeWalker,#Apprehensive #BalancingAct,0,0,1,31,14,-1.0866672249184355,-1.0773865345463696,2023,4,8,13
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",AtlasBearer,#Overwhelmed #BouldersOfExhaustion,0,1,0,5,142,0.0844435676506667,0.09122276763298064,2021,6,25,17
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",GreenMonster,#Jealous #GreenEyedMonster,1,0,0,32,113,-0.79388952677616,-0.7852342090015321,2019,8,30,10
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",StormSurvivor,#Devastated #WindsOfBrokenPromises,0,0,1,0,53,0.52361011486408,0.529451255950237,2022,8,3,15
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",PuzzleComposer,#Frustrated #UnsolvablePuzzle,0,1,0,13,85,-1.379444923060711,-1.369538860091207,2020,12,17,9
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",GildedHeartache,#Envious #GildedPrize,1,0,0,32,72,-0.20833413049160884,-0.20092955791185693,2021,2,28,22
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",IndifferentFort,#Dismissive #ImpenetrableWalls,0,0,1,31,57,-1.0866672249184355,-1.0773865345463696,2018,5,10,14
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",DreamMosaic,#Frustrated #MosaicOfDisappointment,0,1,0,5,85,-0.9402783758472977,-0.9313103717739508,2022,1,7,11
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",NocturnalEcho,#Loneliness #SolitaryNocturne,1,0,0,0,121,-0.5011118286338844,-0.49308188345669446,2019,9,19,3
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",DarkWhispers,#Fearful #SpecterOfTheUnknown,0,0,1,31,80,-1.2330560739895733,-1.2234626973187883,2023,7,14,23
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",LingeringTaste,#Bitterness #BitterAftertaste,0,1,0,13,21,-1.6722226212029865,-1.6616911856360448,2020,4,5,16
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",TempestSurvivor,#Overwhelmed #DrowningSoul,1,0,0,32,142,-0.20833413049160884,-0.20092955791185693,2021,11,29,8
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",VenomousHeart,#Jealous #HeartOfDiscontent,0,0,1,0,113,-0.79388952677616,-0.7852342090015321,2019,12,12,17
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",FragileTrust,#Devastated #ShatteredTrust,0,1,0,5,53,0.52361011486408,0.529451255950237,2022,5,20,14
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",BrokenThreads,#Frustrated #SlippingThreads,1,0,0,31,85,-1.0866672249184355,-1.0773865345463696,2020,9,3,12
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",SuccessPill,#Envious #BitterPill,0,0,1,32,72,-0.20833413049160884,-0.20092955791185693,2021,2,10,19
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",CurtainShield,#Dismissive #IndifferencePerformance,0,1,0,0,57,-1.379444923060711,-1.369538860091207,2018,8,18,14
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",FoggyLabyrinth,#Despair #LabyrinthOfHopelessness,1,0,0,5,50,-1.965000319345262,-1.9538435111808823,2022,2,28,21
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",IcyResentment,#Bitterness #IciclesOfResentment,0,0,1,31,21,-0.9402783758472977,-0.9313103717739508,2019,10,15,10
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",SolitaryMoon,#Loneliness #StarlessSky,0,1,0,32,121,-0.5011118286338844,-0.49308188345669446,2017,12,1,18
